line	path	methods	auth
22756	/admin/mt-disable-list	GET/ANY	REQUIRE_ADMIN
22782	/admin/mark-dm-dispatched	POST	NONE
22806	/admin/dm-dispatch-audit	GET	REQUIRE_ADMIN
22858	/admin/basket-series-info	GET/ANY	REQUIRE_ADMIN
22929	/admin/tip-resettle	GET/ANY	REQUIRE_ADMIN
22989	/admin/tips-list	GET/ANY	REQUIRE_ADMIN
23074	/admin/mt-promote-preflight	GET,POST	REQUIRE_ADMIN
23099	/admin/mt-refit-calib	GET/ANY	ADMIN_HEADER_OR_QUERY
23669	/admin/mt-historical-learnings	GET/ANY	ADMIN_HEADER_OR_QUERY
23950	/admin/tips-real-by-league	GET/ANY	REQUIRE_ADMIN
24050	/admin/shadow-logging-health	GET/ANY	ADMIN_HEADER_OR_QUERY
24133	/admin/shadow-tier-divergence	GET,POST	ADMIN_HEADER_OR_QUERY
24285	/admin/mt-shadow-by-league	GET/ANY	ADMIN_HEADER_OR_QUERY
24420	/admin/ml-shadow-by-league	GET/ANY	ADMIN_HEADER_OR_QUERY
24574	/admin/mt-shadow-by-line	GET/ANY	ADMIN_HEADER_OR_QUERY
24743	/admin/mt-shadow-by-ev	GET/ANY	ADMIN_HEADER_OR_QUERY
24808	/admin/mt-shadow-comprehensive-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
24978	/admin/mt-shadow-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
25235	/admin/mt-settle-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
25308	/admin/mt-repropagate	GET/ANY	ADMIN_HEADER_OR_QUERY
25479	/admin/mt-shadow-unsettle	POST,GET	ADMIN_HEADER_OR_QUERY
25502	/admin/mt-shadow-unsettle-batch	POST,GET	ADMIN_HEADER_OR_QUERY
25540	/tips-by-league	GET/ANY	NONE
25601	/tips-by-sport	GET/ANY	NONE
25675	/tips-by-market	GET/ANY	NONE
25736	/tips-breakdown	GET/ANY	NONE
25866	/recent-emitted-match-ids	GET/ANY	NONE
25891	/admin/mt-shadow-revert-suspects	POST,GET	ADMIN_HEADER_OR_QUERY
25971	/admin/settle-tennis-hg-orphans	POST,GET	ADMIN_HEADER_OR_QUERY
26112	/admin/ml-calibration	GET/ANY	ADMIN_HEADER_OR_QUERY
26257	/admin/lol-kills-debug	GET/ANY	ADMIN_HEADER_OR_QUERY
26316	/admin/tip-find	GET/ANY	ADMIN_HEADER_OR_QUERY
26355	/admin/mt-tip-trace	GET/ANY	ADMIN_HEADER_OR_QUERY
26419	/admin/mt-revert-suspects	POST,GET	ADMIN_HEADER_OR_QUERY
26523	/admin/clear-stale-is-live	POST,GET	ADMIN_HEADER_OR_QUERY
26543	/admin/mt-resync-bankroll	POST,GET	ADMIN_HEADER_OR_QUERY
26603	/admin/backfill-mt-labels	POST,GET	ADMIN_HEADER_OR_QUERY
26668	/void-market-tips-bogus	POST	NONE
26691	/seed-dota	POST	NONE
26764	/seed-tabletennis	POST	NONE
26816	/seed-cs-history	POST	NONE
26893	/seed-valorant-history	POST	NONE
27008	/debug-valorant-ps-match	GET/ANY	NONE
27047	/seed-valorant-maps-from-vlr	POST	NONE
27115	/debug-valorant-elo	GET/ANY	NONE
27160	/sport-performance-multiplier	GET/ANY	NONE
27227	/stake-multiplier	GET/ANY	NONE
27261	/calibration-stats	GET/ANY	NONE
27278	/pending-age-info	GET/ANY	NONE
27302	/admin/recompute-ev-pending	POST	REQUIRE_ADMIN
27408	/admin/apply-trained-predictions	POST	REQUIRE_ADMIN
27451	/admin/rerun-pending-trained	GET/ANY	REQUIRE_ADMIN
27595	/admin/backtest-trained	GET/ANY	REQUIRE_ADMIN
27721	/void-bad-tennis	POST	NONE
27777	/void-bad-darts	POST	NONE
27836	/void-bad-mma	POST	NONE
27904	/admin/backfill-mma-events	POST	REQUIRE_ADMIN
27955	/admin/migrate-football-market-types	GET/ANY	ADMIN_HEADER_OR_QUERY
27996	/void-old-pending	POST	GLOBAL_GATE_POST
28106	/record-tip	POST	GLOBAL_GATE_POST
29375	/log-tip-factors	POST	GLOBAL_GATE_POST
29398	/log-odds-history	POST	GLOBAL_GATE_POST
29418	/resync-stats	POST	GLOBAL_GATE_POST
29432	/reset-tips	POST	GLOBAL_GATE_POST
29469	/admin/eval-football-poisson	POST	REQUIRE_ADMIN
29636	/admin/train-football-poisson	POST	REQUIRE_ADMIN
29849	/admin/seed-football-secondary	POST	REQUIRE_ADMIN
29955	/admin/reset-sport-cooldown	POST	REQUIRE_ADMIN
29973	/admin/cleanup-football-shortleagues	POST	REQUIRE_ADMIN
29988	/football-data-stats	GET/ANY	NONE
30006	/db-info	GET/ANY	NONE
30038	/dynamic-thresholds	GET/ANY	NONE
30048	/admin/dynamic-threshold	POST	REQUIRE_ADMIN
30075	/threshold-optimizer-apply	POST	REQUIRE_ADMIN
30226	/threshold-optimizer	GET/ANY	NONE
30296	/autonomy-status	GET/ANY	NONE
30430	/league-blocks	GET/ANY	NONE
30443	/league-bleed-scan	GET/ANY	REQUIRE_ADMIN
30526	/admin/league-block	POST	REQUIRE_ADMIN
30548	/admin/blocklist-add	POST,GET	REQUIRE_ADMIN
30573	/admin/blocklist-remove	POST,GET	REQUIRE_ADMIN
30586	/admin/blocklist-list	GET/ANY	REQUIRE_ADMIN
30599	/admin/drift-guard-stats	GET/ANY	REQUIRE_ADMIN
30732	/admin/league-unblock	POST	REQUIRE_ADMIN
30748	/admin/delete-empty-bankroll	POST	REQUIRE_ADMIN
30766	/cost-summary	GET/ANY	NONE
30854	/shadow-summary	GET/ANY	NONE
31019	/ai-impact	GET/ANY	ADMIN_HEADER_OR_QUERY
31213	/mt-tennis-breakdown	GET/ANY	ADMIN_HEADER_OR_QUERY
31213	/mt-breakdown	GET/ANY	ADMIN_HEADER_OR_QUERY
